# distribute
# normalize=0.49419
# analyze_regions=['UTR5', 'CDS', 'UTR3']
ref_id,UTR5,UTR5_count,UTR5_den,CDS,CDS_count,CDS_den,UTR3,UTR3_count,UTR3_den
B0001.8b.1,1-10,0.0,0.0,11-1489,43.38077580745343,0.02933115335189549,1490-1662,9.297524906832297,0.053742918536602874
B0001.8c.1,,,,1-216,3.2690208074534164,0.015134355590062112,217-382,9.297524906832297,0.056009186185736734
B0001.8d.1,1-10,0.0,0.0,11-940,24.132944999999996,0.025949403225806446,941-1704,27.556975714285727,0.03606933994016456
B0001.8d.2,1-10,0.0,0.0,11-940,24.132944999999996,0.025949403225806446,941-2026,56.71418571428572,0.05222300710339385
B0001.8d.3,1-12,0.0,0.0,13-942,24.132944999999996,0.025949403225806446,943-1677,28.545355714285723,0.03883721865889214
B0019.1.1,1-12,0.0,0.0,13-2187,30.63978,0.014087255172413791,2188-2369,0.0,0.0
B0019.2.1,1-2,0.0,0.0,3-2246,45.465480000000014,0.020260909090909097,2247-2431,0.0,0.0
B0019.2.2,1-9,0.0,0.0,10-2253,45.465480000000014,0.020260909090909097,2254-2464,0.0,0.0
B0024.1.1,1-57,0.0,0.0,58-951,0.0,0.0,952-1048,0.0,0.0
B0024.1.2,1-57,0.0,0.0,58-951,0.0,0.0,952-1050,0.0,0.0
B0024.1.3,1-57,0.0,0.0,58-951,0.0,0.0,952-963,0.0,0.0
B0024.10.1,,,,1-1722,276.7464,0.16071219512195123,1723-1840,0.0,0.0
B0024.10.2,1-63,0.0,0.0,64-1785,276.7464,0.16071219512195123,1786-1900,0.0,0.0
B0024.11.1,,,,1-1734,466.8425411264822,0.269228685770751,1735-1818,14.992708873517786,0.1784846294466403
B0024.12.1,1-7,0.0,0.0,8-505,15.566985,0.03125900602409639,506-624,0.0,0.0
B0024.12.2,1-155,0.0,0.0,156-653,15.566985,0.03125900602409639,654-772,0.0,0.0
B0024.13.1,1-7,0.0,0.0,8-937,73.34326529644271,0.07886372612520721,938-1026,22.03540470355731,0.24758881689390239
B0024.14a.1,1-9,0.0,0.0,10-2712,13.4666775,0.0049821226415094335,2713-2993,1.6061174999999999,0.005715720640569395
B0024.14b.1,1-68,0.0,0.0,69-2969,13.4666775,0.004642081178903826,2970-3251,1.6061174999999999,0.005695452127659574
B0024.14d.1,1-3,0.0,0.0,4-2718,13.4666775,0.004960102209944751,2719-2996,1.6061174999999999,0.00577740107913669
B0024.14f.1,1-5,0.0,0.0,6-2633,13.4666775,0.005124306506849315,2634-2914,1.6061174999999999,0.005715720640569395
B0024.15.1,1-8,0.0,0.0,9-1043,2.2238549999999995,0.002148652173913043,1044-1075,0.0,0.0
B0024.15.2,1-330,0.0,0.0,331-1365,2.2238549999999995,0.002148652173913043,1366-1397,0.0,0.0
B0024.2.1,1-43,0.0,0.0,44-937,0.0,0.0,938-1009,0.0,0.0
B0024.3.1,1-16,0.0,0.0,17-781,9.389609999999998,0.012273999999999997,782-899,0.0,0.0
B0024.4.1,1-33,0.0,0.0,34-1206,0.0,0.0,1207-1353,0.0,0.0
B0024.6a.1,,,,1-3249,9.636705000000001,0.002966052631578948,,,
B0024.6b.1,,,,1-3261,9.636705000000001,0.002955137994480221,,,
B0024.8a.1,,,,1-3849,1.7296650000000005,0.00044938035853468446,3850-3939,0.0,0.0
B0024.8b.1,1-190,0.0,0.0,191-2263,1.7296650000000005,0.0008343777134587557,2264-2353,0.0,0.0
B0024.8c.1,,,,1-1806,1.7296650000000005,0.0009577325581395351,1807-1896,0.0,0.0
B0024.8d.1,,,,1-1800,1.7296650000000005,0.0009609250000000003,1801-1890,0.0,0.0
B0024.9a.1,,,,1-438,243.5953013833992,0.5561536561264822,439-522,3.9938886166007914,0.04754629305477133
B0024.9a.2,,,,1-438,243.5953013833992,0.5561536561264822,439-553,3.9938886166007914,0.03472946623131123
B0024.9b.1,,,,1-360,236.6766413833992,0.6574351149538866,361-475,3.9938886166007914,0.03472946623131123
B0025.1a.1,1-2,0.0,0.0,3-2708,95.93169214285719,0.0354514752929997,2709-2799,3.52110375,0.0386934478021978
B0025.1b.1,1-958,32.90374782467533,0.03434629209256297,959-2911,59.40388431818182,0.030416735441977375,2912-3005,3.52110375,0.037458550531914894
B0025.1b.2,1-754,33.09842873376624,0.04389712033656,755-2707,63.49218340909091,0.032510078550481776,2708-2801,3.52110375,0.037458550531914894
B0025.1b.3,1-755,33.09842873376624,0.043838978455319526,756-2708,63.49218340909091,0.032510078550481776,2709-2802,3.52110375,0.037458550531914894
B0025.1b.4,1-736,33.96807477272728,0.04615227550642293,737-2689,61.82242022727272,0.03165510508308895,2690-2783,3.52110375,0.037458550531914894
B0025.1b.5,1-721,33.09842873376624,0.045906281184141806,722-2674,63.49218340909091,0.032510078550481776,2675-2768,3.52110375,0.037458550531914894
B0025.1b.6,1-755,32.881284642857146,0.04355137038789026,756-2708,58.9321575,0.030175195852534562,2709-2802,3.52110375,0.037458550531914894
B0025.1c.1,1-2,0.0,0.0,3-2696,95.93169214285719,0.03560938832325805,2697-2790,3.52110375,0.037458550531914894
